Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin
64,32,96,96,32,1,1,1,1,0,0,0.163157,0.163271,0.289109,NOT SUPPORT!,1.635669,0.416313,NOT SUPPORT!,NOT SUPPORT!,0
64,32,97,97,32,1,1,1,1,0,0,0.206734,0.206165,0.333938,NOT SUPPORT!,1.639196,0.689380,NOT SUPPORT!,NOT SUPPORT!,1
64,32,128,128,32,1,1,1,1,0,0,0.349867,0.350322,0.580380,NOT SUPPORT!,1.855147,0.765042,NOT SUPPORT!,NOT SUPPORT!,0
64,32,256,256,32,1,1,1,1,0,0,1.439403,1.449756,2.320725,NOT SUPPORT!,7.190301,3.286926,NOT SUPPORT!,NOT SUPPORT!,0
64,32,384,384,32,1,1,1,1,0,0,3.307292,3.319922,5.185308,NOT SUPPORT!,NOT SUPPORT!,7.790365,NOT SUPPORT!,NOT SUPPORT!,0
64,32,512,512,32,1,1,1,1,0,0,5.318656,5.340502,8.243086,NOT SUPPORT!,NOT SUPPORT!,11.304618,NOT SUPPORT!,NOT SUPPORT!,0
64,32,640,640,32,1,1,1,1,0,0,8.833252,8.845539,13.715912,NOT SUPPORT!,NOT SUPPORT!,20.651237,NOT SUPPORT!,NOT SUPPORT!,0
64,32,768,768,32,1,1,1,1,0,0,11.165696,11.351609,18.311510,NOT SUPPORT!,NOT SUPPORT!,25.534691,NOT SUPPORT!,NOT SUPPORT!,0
64,32,896,896,32,1,1,1,1,0,0,16.257706,16.281942,25.662804,NOT SUPPORT!,NOT SUPPORT!,38.103954,NOT SUPPORT!,NOT SUPPORT!,0
64,32,1024,1024,32,1,1,1,1,0,0,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!
64,32,2048,2048,32,1,1,1,1,0,0,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!
64,32,3072,3072,32,1,1,1,1,0,0,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!
64,48,1,1,48,1,1,1,1,0,0,0.014450,0.014450,0.031858,NOT SUPPORT!,0.053020,0.206279,NOT SUPPORT!,NOT SUPPORT!,0
64,48,2,2,48,1,1,1,1,0,0,0.015019,0.015246,0.030379,NOT SUPPORT!,0.054272,0.044373,NOT SUPPORT!,NOT SUPPORT!,0
