,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
49,7.199997466390199e-06,0.0,0.0,0.0,2723840.0,0.0,651264.0,0.0,0.0,0.0,0.0,8.3,3.39,11.64,1048704.0,2968416.0,2359296.0,22.18,8192.0,1.03,27.73,0.0,32.0,65536.0,6098944.0,0.0,6098944.0,5.8156963261320636,2.0546122915386524,2.5850694444444446,788.9008649003595,0.0
50,1.0080001414196844e-05,0.0,0.0,0.0,0.0,64.0,895040.0,100448.0,0.0,0.0,3184.0,12.9,3.8,14.91,2408960.0,5531648.0,2454720.0,6.55,17728.0,1.55,24.67,0.0,32.0,32768.0,1096000.0,1630208.0,2726208.0,1.1316950053134962,0.49283830062939654,1.1105983574501368,251.88280727038128,150.61997011036345
51,0.0001948799999998,0.0,0.0,0.0,49280.0,0.0,621696.0,0.0,0.0,0.0,0.0,1.4,1.4,0.84,2408960.0,5164128.0,19333312.0,1.71,2176.0,0.01,4.67,0.0,32.0,65536.0,720256.0,0.0,720256.0,0.298990435706695,0.13947291778979917,0.037254661798247504,3.4420703628024145,0.0
52,0.0001027519984196,0.0,0.0,0.0,86464.0,0.0,639616.0,0.0,0.0,0.0,0.0,4.84,4.84,1.53,2408832.0,5152640.0,20066624.0,2.37,2240.0,0.02,6.92,0.0,32.0,65536.0,812544.0,0.0,812544.0,0.3373186673043201,0.15769469631101726,0.04049231201023152,7.364728489056916,0.0
53,6.819199674276391e-05,0.0,0.0,0.0,127232.0,0.0,658176.0,0.0,0.0,0.0,0.0,2.28,2.28,2.33,2408832.0,5144992.0,20414144.0,3.14,2304.0,0.03,9.04,0.0,32.0,65536.0,912640.0,0.0,912640.0,0.37887241617514217,0.17738414364881422,0.04470625856269065,12.464252039771262,0.0
54,7.244800225769259e-05,0.0,0.0,0.0,171584.0,0.0,677376.0,0.0,0.0,0.0,0.0,2.45,2.45,2.09,2408832.0,5128704.0,20834432.0,2.75,2368.0,0.03,11.19,0.0,32.0,65536.0,1020544.0,0.0,1020544.0,0.42366757000903343,0.19898672257162822,0.04898352880462496,13.119142501785944,0.0
55,3.843199933540735e-05,0.0,0.0,0.0,219520.0,0.0,697216.0,0.0,0.0,0.0,0.0,7.56,7.56,3.93,2408832.0,5196512.0,21292480.0,4.7,2432.0,0.05,13.49,0.0,32.0,65536.0,1136256.0,0.0,1136256.0,0.47170412880599394,0.21865743791219958,0.05336419242850058,27.534889717989447,0.0
56,4.0543997056991055e-05,0.0,0.0,0.0,271040.0,0.0,717696.0,0.0,0.0,0.0,0.0,3.16,3.16,3.65,2408832.0,5172832.0,21666592.0,4.57,2496.0,0.05,15.59,0.0,32.0,65536.0,1259776.0,0.0,1259776.0,0.5229820925660237,0.24353700255488675,0.05814370806447087,28.937892485281804,0.0
57,2.8511996731140083e-05,0.0,0.0,0.0,326144.0,0.0,738816.0,0.0,0.0,0.0,0.0,4.22,3.36,5.18,2408960.0,5172800.0,22091264.0,5.95,2560.0,0.07,17.47,0.0,32.0,65536.0,1391104.0,0.0,1391104.0,0.5774707757704569,0.26892669347355397,0.06297077432961735,45.43934860314099,0.0
58,1.3343998988848291e-05,0.0,0.0,0.0,896000.0,0.0,930816.0,0.0,0.0,0.0,0.0,9.28,4.63,11.44,2408832.0,5375744.0,19704768.0,13.65,3072.0,0.19,14.48,0.0,32.0,65536.0,2722816.0,0.0,2722816.0,1.1303469897444072,0.5065003095385494,0.1381805662467074,190.0344873709469,0.0
59,9.088001388049526e-06,0.0,0.0,0.0,2723840.0,0.0,1437696.0,0.0,0.0,0.0,0.0,13.9,5.41,18.32,2408832.0,5922624.0,13462336.0,24.28,4096.0,0.39,27.29,0.0,32.0,65536.0,6885376.0,0.0,6885376.0,2.8583877995642704,1.1625549756324225,0.5114547727823759,705.601356085607,0.0
60,2.5535997667457035e-05,0.0,0.0,0.0,0.0,128.0,557056.0,16384.0,0.0,0.0,512.0,4.18,1.07,4.64,2097280.0,4740896.0,2101248.0,0.53,1032.0,0.03,24.97,0.0,32.0,4096.0,589952.0,262144.0,852096.0,0.4062862374122673,0.179733113740525,0.4055190058479532,31.07676664424515,9.5606456493036
61,7.6864004189205e-05,0.0,0.0,0.0,98560.0,0.0,538368.0,0.0,0.0,0.0,0.0,5.52,5.52,1.82,2097280.0,4555456.0,16785408.0,4.01,2304.0,0.02,3.94,0.0,32.0,65536.0,735488.0,0.0,735488.0,0.35068660360085446,0.16145211368521614,0.04381710590531967,8.911539087564073,0.0
62,6.847999610877525e-05,0.0,0.0,0.0,172928.0,0.0,582272.0,0.0,0.0,0.0,0.0,3.3,3.3,1.91,2097280.0,4551552.0,17857600.0,4.13,10880.0,0.13,5.73,0.0,32.0,65536.0,928128.0,0.0,928128.0,0.44253890753738173,0.2039146207711128,0.051973837469760774,12.622467985537014,0.0
63,2.56639969715878e-05,0.0,0.0,0.0,254464.0,0.0,560640.0,0.0,0.0,0.0,0.0,8.69,8.69,4.91,2097280.0,4576224.0,16793600.0,8.44,2560.0,0.08,7.98,0.0,32.0,65536.0,1069568.0,0.0,1069568.0,0.5099786389990846,0.2337228247568301,0.0636890243902439,38.813627689759656,0.0
