Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,96,32,32,96,3,3,1,1,0,0,0.986908,0.954709,1.071218,NOT SUPPORT!,0.388324,0.333938,0.406642,0.377173,5,7,1,0.0010497920019329,124.4025960394654,1153.5450810925524,10404.950294809136,33.91,74.92,74.92,17.8,77.35,50.95,45920.0,345600.0,80.0
64,96,48,48,96,3,3,1,1,0,0,2.521543,2.283975,2.652729,NOT SUPPORT!,1.743189,1.062684,0.868921,0.727495,7,7,1,0.0023874880015996,118.96023825857317,1192.531302394997,10756.605120860811,35.87,76.33,76.33,19.08,79.89,52.64,157292.0,812544.0,80.0
64,128,24,24,128,3,3,1,1,0,0,0.939463,0.909653,0.977806,NOT SUPPORT!,0.525653,0.441799,0.532594,0.290020,7,7,1,0.0009359679974353,448.06961285123043,309.2410689180726,10112.28885809663,30.56,53.39,53.39,14.71,69.31,42.83,230550.0,123904.0,68.0
64,128,32,32,128,3,3,1,1,0,0,1.575026,1.455104,1.643634,NOT SUPPORT!,0.535097,0.452153,0.672427,0.495388,5,7,1,0.0016286079987184,355.71215696013905,330.47510538050705,10806.649122348534,33.71,57.34,57.34,16.01,74.39,46.01,463178.0,230400.0,68.0
64,128,48,48,128,3,3,1,1,0,0,3.352690,3.033202,3.511182,NOT SUPPORT!,2.440419,1.404587,1.658311,1.063709,7,7,1,0.0035394880028881,314.50712975799587,357.5098587613451,11690.694816379124,35.82,61.61,61.61,17.61,80.28,49.69,1157417.0,541696.0,68.0
64,256,15,15,256,3,3,1,1,0,0,1.026275,1.002041,1.079069,NOT SUPPORT!,0.472633,1.169408,0.607801,0.380018,7,7,1,0.0014287999983958,667.4509647574768,1125.9298556874414,10198.53116486596,38.08,76.51,76.51,18.87,79.05,52.42,0.0,173056.0,64.0
64,256,16,16,256,3,3,1,1,0,0,1.182720,1.078386,1.124352,NOT SUPPORT!,0.483100,1.151431,0.563996,0.381156,7,7,1,0.0016460479993527,573.2802556620815,1133.4690025647458,10266.81981002116,39.69,76.4,76.4,17.9,79.3,52.61,10415.0,200704.0,64.0
64,256,32,32,256,3,3,1,1,0,0,4.485575,4.280775,4.510607,NOT SUPPORT!,1.464548,1.192732,2.070869,1.348949,5,7,1,0.0072246719971233,130.22245162687204,1185.8245749303585,10741.050006270012,47.49,79.9,79.9,19.89,83.07,55.15,466822.0,921600.0,64.0
64,256,256,256,256,3,3,1,1,0,0,291.200195,275.490021,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,83.930229,141.994659,NOT SUPPORT!,5,6,1,0.508496416000838,144.11742496366588,1207.7460024083784,10939.611542038545,49.95,78.2,78.2,21.8,84.53,56.14,42239345.0,66064384.0,64.0
64,384,15,15,384,3,3,1,1,0,0,2.956629,1.908622,1.967673,NOT SUPPORT!,0.917845,2.433024,1.298204,0.707129,7,7,1,0.0027309759958191,496.3832485844913,330.0196154707251,10884.75410311481,30.83,57.38,57.38,13.57,74.63,46.23,683523.0,129792.0,68.0
