,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value
Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
ID,,,,,,,,,,,,,,,,,,,,,
58,60684672.0,23.1,20.72,152160.0,196462112.0,18.26,175904000.0,28.8,165567.17,1088112294.08,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.76
59,13220096.0,39.15,20.63,36000.0,41947904.0,27.56,61736768.0,51.53,36032.15,1000893004.12,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,0.0,0.0,62.95
60,619570304.0,25.47,25.47,1218464.0,1532739584.0,16.95,1357162944.0,27.14,1377034.15,1130139378.88,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.5
61,619513728.0,25.09,25.09,1224064.0,1532775776.0,16.7,1357544640.0,26.74,1397743.15,1141887309.93,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.2
62,13266944.0,38.98,20.63,36448.0,41960192.0,27.5,61694240.0,51.26,36108.81,990693997.33,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,0.0,0.0,62.81
63,619565440.0,25.16,25.16,1213280.0,1532761536.0,16.74,1357598368.0,26.83,1394146.7,1149072517.23,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.25
64,619595904.0,25.14,25.14,1216576.0,1532757920.0,16.74,1349849504.0,26.82,1395099.43,1146742518.29,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.24
65,19633536.0,51.25,21.63,46816.0,62089824.0,36.25,84712960.0,58.94,51135.37,1092262695.88,0.0,0.0,0.0,0.0,0.0,0.0,4817408.0,0.0,0.0,0.0,67.63
66,71989376.0,29.53,20.28,183136.0,245584928.0,20.49,220138656.0,32.92,200676.93,1095780872.83,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.55
67,72139264.0,29.62,20.4,182176.0,245594624.0,20.57,213658272.0,32.96,199980.76,1097733835.74,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.65
68,19612800.0,51.56,21.7,46592.0,62098336.0,36.28,85000352.0,59.13,50937.39,1093264699.71,0.0,0.0,0.0,0.0,0.0,0.0,4817408.0,0.0,0.0,0.0,67.89
69,72002432.0,29.48,20.31,182976.0,245524640.0,20.48,220144832.0,32.88,200436.37,1095424374.62,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.59
70,72105984.0,29.48,20.34,183264.0,245673024.0,20.52,220429568.0,32.75,200412.3,1093571548.67,0.0,0.0,0.0,0.0,2365444.0,67415154.0,68597876.0,0.0,0.0,0.0,29.59
71,2293888.0,21.65,6.26,21728.0,13797120.0,15.06,20782880.0,36.63,20560.67,946275159.55,0.0,0.0,0.0,0.0,0.0,0.0,1146880.0,0.0,0.0,0.0,37.64
72,26186880.0,27.67,23.18,60992.0,55050240.0,18.48,85720416.0,42.72,63816.7,1046312691.89,0.0,0.0,0.0,0.0,0.0,0.0,4587520.0,0.0,0.0,0.0,41.2
73,25963520.0,5.12,3.69,345824.0,139263680.0,3.64,99087328.0,7.54,398753.78,1153054090.46,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,4.01
74,2303488.0,1.74,0.35,340736.0,34812064.0,0.99,31547168.0,2.01,372718.13,1093861903.73,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.07
75,573440.0,0.89,0.09,315584.0,8909184.0,0.26,15223040.0,0.89,353145.76,1119023015.3,0.0,0.0,0.0,0.0,4480.0,1720320.0,1722560.0,0.0,0.0,0.0,0.28
76,143360.0,0.66,0.03,274080.0,1946208.0,0.09,10141056.0,0.66,314182.2,1146315687.77,0.0,0.0,0.0,0.0,1120.0,430080.0,430640.0,0.0,0.0,0.0,0.08
77,26041984.0,4.74,3.71,360800.0,139264864.0,3.66,91287904.0,7.57,397059.81,1100498378.09,0.0,0.0,0.0,0.0,71680.0,27525120.0,27560960.0,0.0,0.0,0.0,4.02
78,2293760.0,1.77,0.35,341280.0,34814144.0,1.0,31616288.0,2.04,367977.52,1078227609.35,0.0,0.0,0.0,0.0,17920.0,6881280.0,6890240.0,0.0,0.0,0.0,1.09
