Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
51,5005056.0,37.41,22.58,14656.0,20644800.0,21.7,22726624.0,49.38,12415.31,847114820.88,0.0,0.0,782000.0,1251200.0,0.0,625600.0,0.0,0.0,0.0,0.0,23.26
52,3277056.0,26.58,17.0,11232.0,13516800.0,16.85,13926176.0,40.13,10725.59,954913870.42,0.0,0.0,512000.0,819200.0,0.0,409600.0,0.0,0.0,0.0,0.0,21.36
53,175275392.0,70.04,70.04,122432.0,372514432.0,38.3,438576512.0,83.07,141449.35,1155329912.54,0.0,0.0,1105920.0,22579200.0,0.0,11289600.0,0.0,0.0,0.0,0.0,23.18
54,3440896.0,27.98,17.98,11584.0,14192640.0,17.27,14566624.0,41.51,10654.04,919720048.09,0.0,0.0,537600.0,860160.0,0.0,430080.0,0.0,0.0,0.0,0.0,22.03
55,40331520.0,62.11,51.07,40096.0,113531392.0,36.55,135895104.0,76.01,44504.81,1109956474.83,0.0,0.0,1105920.0,6881280.0,0.0,3440640.0,0.0,0.0,0.0,0.0,22.66
56,10754816.0,51.48,30.57,21824.0,44353792.0,31.68,49674016.0,67.99,19744.15,904698870.42,0.0,0.0,1105920.0,2688000.0,0.0,1344000.0,0.0,0.0,0.0,0.0,23.22
57,80495232.0,63.36,62.69,64864.0,190096768.0,38.17,224711040.0,80.88,72397.52,1116143292.4,0.0,0.0,1105920.0,11520000.0,0.0,5760000.0,0.0,0.0,0.0,0.0,23.2
58,2457856.0,20.52,13.43,10048.0,10137600.0,13.83,10271904.0,31.73,10232.69,1018380293.11,0.0,0.0,384000.0,614400.0,0.0,307200.0,0.0,0.0,0.0,0.0,19.62
59,23910016.0,57.5,41.67,33600.0,81102464.0,35.48,90925920.0,74.92,32278.54,960670745.15,0.0,0.0,1105920.0,4915200.0,0.0,2457600.0,0.0,0.0,0.0,0.0,22.43
60,7680256.0,43.92,26.41,17760.0,31679872.0,26.63,35038400.0,58.31,16285.74,916989906.57,0.0,0.0,1105920.0,1920000.0,0.0,960000.0,0.0,0.0,0.0,0.0,23.12
61,159437184.0,70.49,70.49,112256.0,342194336.0,39.01,402256864.0,83.43,127846.85,1138886579.35,0.0,0.0,1105920.0,20736800.0,0.0,10368400.0,0.0,0.0,0.0,0.0,23.57
62,3297536.0,27.74,17.62,11232.0,13601280.0,17.21,14202976.0,40.9,10463.59,931587659.6,0.0,0.0,515200.0,824320.0,0.0,412160.0,0.0,0.0,0.0,0.0,21.96
63,38013824.0,64.01,51.33,39520.0,108814592.0,37.3,130784192.0,79.46,41624.26,1053245426.6,0.0,0.0,1105920.0,6594560.0,0.0,3297280.0,0.0,0.0,0.0,0.0,23.23
64,10306816.0,50.9,30.35,20512.0,42502336.0,30.68,47283872.0,66.66,19000.06,926289759.92,0.0,0.0,1105920.0,2576000.0,0.0,1288000.0,0.0,0.0,0.0,0.0,23.5
