N,cin,cout,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
512,12544,1024,0.0009026879987163,0.0,0.0,0.0,6590300160.0,5242880.0,0.0,0.0,0.0,0.0,0.0,116687104.0,1232916512.0,1506956416.0,13185843200.0,0.0,13185843200.0,113.00171782479065,10.694838678581993,8.749983118290794,13604.117319565128,0.0
512,1024,1024,9.465599702141174e-05,0.0,0.0,0.0,547880960.0,2621440.0,0.0,0.0,0.0,0.0,0.0,8389376.0,152180128.0,170685408.0,1098383360.0,0.0,1098383360.0,130.92551341124775,7.21765301708775,6.43513334191989,10807.019638899403,0.0
512,1024,81,1.8239996848978e-05,0.0,0.0,0.0,50331648.0,393216.0,0.0,0.0,0.0,0.0,0.0,2429184.0,15564224.0,9191424.0,101056512.0,0.0,101056512.0,41.6010116977553,6.492871857922374,10.994652406417112,5159.880876995513,0.0
512,1024,4,1.289599859871672e-05,0.0,0.0,0.0,18874368.0,786432.0,589824.0,0.0,0.0,0.0,0.0,2113792.0,5939456.0,2832384.0,39124992.0,0.0,39124992.0,18.50938597553591,6.587302271453817,13.813449023861171,2825.5266935959453,0.0
2,2048,34,7.747200325214556e-05,0.0,0.0,0.0,4196352.0,8192.0,6144.0,0.0,0.0,0.0,0.0,295552.0,858112.0,312000.0,8407040.0,0.0,8407040.0,28.445214378518838,9.797136038186158,26.945641025641027,101.06445953401202,0.0
2,2048,68,7.897599605950386e-05,0.0,0.0,0.0,6294528.0,12288.0,9216.0,0.0,0.0,0.0,0.0,574336.0,1428672.0,607488.0,12610560.0,0.0,12610560.0,21.956763984845107,8.826770595350087,20.758533501896334,148.7097319759559,0.0
34,2,64,7.904003898836377e-06,0.0,0.0,0.0,73728.0,8192.0,0.0,0.0,0.0,0.0,0.0,9856.0,227072.0,18720.0,155648.0,0.0,155648.0,15.792207792207792,0.685456595264938,8.314529914529915,18.33988165353647,0.0
34,64,64,1.1264003431093188e-05,0.0,0.0,0.0,266240.0,16384.0,12288.0,0.0,0.0,0.0,0.0,34048.0,361184.0,67584.0,561152.0,0.0,561152.0,16.481203007518797,1.5536457871888012,8.303030303030303,46.39678322078641,0.0
34,64,2,9.727996238234049e-06,0.0,0.0,0.0,133120.0,8192.0,6144.0,0.0,0.0,0.0,0.0,9856.0,253920.0,11904.0,280576.0,0.0,280576.0,28.467532467532468,1.1049779458097038,23.56989247311828,26.86131411814241,0.0
2,2048,34,7.76320032801736e-05,0.0,0.0,0.0,4196352.0,8192.0,6144.0,0.0,0.0,0.0,0.0,295552.0,855648.0,312000.0,8407040.0,0.0,8407040.0,28.445214378518838,9.825348741538576,26.945641025641027,100.85616507200102,0.0
