N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
1,128,48,36,512,1,1,1,1,0,0,1,2,236,3.708799446762668e-05,193.42160278745644,0.0,6130.748110374981
1,256,40,40,256,3,3,1,1,1,1,6,2,210,0.0001481919970318,128.10943231984083,0.0,7118.580146899763
2,48,64,64,192,3,3,2,2,1,1,0,1,210,5.283200290602149e-05,176.50481567585518,0.0,6437.988743395412
4,64,128,256,64,1,3,1,1,0,1,1,4,210,0.000439199993836,33.770406631906354,0.0,7410.70116047259
2,32,160,160,64,3,3,2,2,1,1,1,1,210,6.47359980624755e-05,71.07826153905378,0.0,7301.631459266711
1,1024,40,40,256,1,1,1,1,0,0,0,1,205,0.0001124159987121,110.07621797669812,0.0,7465.75584983585
1,256,96,72,64,1,1,1,1,0,0,0,1,202,3.727999740963566e-05,31.669042387867744,0.0,6087.306860738805
4,192,32,32,384,3,3,2,2,1,1,0,1,200,0.0001888960019312,233.47118957064657,0.0,7196.275718398231
4,48,120,120,48,3,3,2,2,1,1,0,1,200,0.0001079680035491,71.38254818109903,0.0,7381.386835013337
4,64,120,120,64,1,1,1,1,0,0,1,2,200,7.008000096503755e-05,30.857142857142858,0.0,6785.7533312142305
1,128,48,36,128,3,3,1,1,1,1,6,2,188,4.69119987011732e-05,123.7514079242462,0.0,6775.094321275455
1,512,24,18,1024,1,1,1,1,0,0,1,2,185,7.89119948178203e-05,156.15183846971308,0.0,5958.592443208851
2,512,12,9,512,3,3,1,1,1,1,6,2,184,0.0001558079999373,41.876449811577686,0.0,7275.889097197823
4,128,32,32,128,3,3,1,1,1,1,6,2,182,8.137599675324236e-05,149.33188808346318,0.0,6934.449352566806
2,36,64,128,72,3,3,2,2,1,1,0,1,180,4.233599741224045e-05,104.3085513390549,0.0,6099.882459019016
2,18,128,256,36,3,3,2,2,1,1,0,1,180,5.484800064663186e-05,74.07630306286943,0.0,6434.352316207387
4,256,14,14,256,3,3,1,1,1,1,6,2,173,8.169599971916808e-05,76.27962978981057,0.0,6908.490427195024
4,2048,16,16,512,1,1,1,1,0,0,1,2,170,0.0002795839989994,170.2338452798799,0.0,7682.871493674465
